綜合評分,日文店名,英文店名,Blog
3.95,アジュール フォーティーファイブ,Azure 45,https://tabelog.com/tw/tokyo/A1307/A130701/13117620/
3.95,アヴランシュ・ゲネー,Avranches Guesnay,https://tabelog.com/tw/tokyo/A1310/A131004/13186450/
3.95,ラパルタメント ディ ナオキ,L'appartamento di NAOKI,https://tabelog.com/tw/tokyo/A1307/A130702/13120467/
3.95,セルサルサーレ,sel sal sale,https://tabelog.com/tw/tokyo/A1303/A130302/13166739/
3.95,寿司 いずみ,Izumi,https://tabelog.com/tw/tokyo/A1317/A131702/13018559/
3.95,L'EAU,L'EAU,https://tabelog.com/tw/tokyo/A1306/A130603/13228902/
3.95,冨所,Tomidokoro,https://tabelog.com/tw/tokyo/A1314/A131401/13223846/
3.95,おでこ,Au deco,https://tabelog.com/tw/tokyo/A1307/A130703/13232146/
3.94,アテスウェイ,à tes souhaits!,https://tabelog.com/tw/tokyo/A1320/A132001/13005853/
3.94,エディション・コウジ シモムラ,EdiTion Koji Shimomura,https://tabelog.com/tw/tokyo/A1307/A130701/13042074/
3.94,麺庵ちとせ,Menanchitose,https://tabelog.com/tw/tokyo/A1305/A130504/13182327/
3.94,フィオッキ,Fiocchi,https://tabelog.com/tw/tokyo/A1318/A131814/13003427/
3.94,中勢以 内店,Nakasei Uchimise,https://tabelog.com/tw/tokyo/A1323/A132302/13152057/
3.94,カントニーズ 燕 ケン タカセ,Cantonese en KEN TAKASE,https://tabelog.com/tw/tokyo/A1302/A130201/13147494/
